R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
,25048495349484952485051513 1:6:50 5:17:16,25048495349484953515748573 20:16:3 5:15:16,25048495349484953515348533 5:1:20 5:14:16,,,25048495349484952565766563 0:5:38 5:14:16,,25048495349484952575265533 23:55:45 5:11:16,,25048495349484952495350523 21:5:8 5:16:16,24848484848515048545752653 4:39:53 5:17:16,New Recording Session,New Recording Session,25048495349484952495650573 22:28:47 5:12:16,,25048495349484952575165503 23:20:16 5:12:16,,,25048495349484952495550543 2:14:12 5:16:16,,,,,24848484848515049484950513 4:17:10 5:16:16
,25048495349484952485051513 1:6:50 5:17:16,25048495349484953515748573 20:19:36 5:15:16,25048495349484953515348533 5:12:20 5:14:16,,,25048495349484952565766563 0:5:39 5:14:16,,25048495349484952575265533 0:30:25 5:12:16,,25048495349484952495350523 21:5:8 5:16:16,24848484848515048545752653 4:39:55 5:17:16,New Recording Session,25048495349484953514948493 17:41:35 5:16:16,25048495349484952495650573 22:28:48 5:12:16,,25048495349484952575165503 23:20:44 5:12:16,,,25048495349484952495550543 2:14:12 5:16:16,,,,,24848484848515049484950513 4:17:20 5:16:16
,25048495349484952485051513 1:6:50 5:17:16,25048495349484952485451553 0:23:0 5:16:16,25048495349484953484851483 9:33:2 5:14:16,,,25048495349484952565766563 0:6:0 5:14:16,,25048495349484952575265533 0:30:25 5:12:16,,25048495349484952495350523 21:5:9 5:16:16,24848484848515048545752653 4:39:55 5:17:16,New Recording Session,25048495349484953514948493 17:41:35 5:16:16,25048495349484952495650573 22:28:49 5:12:16,,25048495349484952575165503 23:20:51 5:12:16,,,25048495349484952495550543 2:14:17 5:16:16,,,,,24848484848515049484950513 4:17:21 5:16:16
,25048495349484952485051513 1:6:52 5:17:16,25048495349484952485451553 0:23:1 5:16:16,25048495349484953484851483 9:33:2 5:14:16,,,25048495349484952565766563 0:6:18 5:14:16,,25048495349484952575265533 0:30:26 5:12:16,,25048495349484952495350523 21:5:9 5:16:16,24848484848515048545752653 4:50:6 5:17:16,New Recording Session,25048495349484953514948493 17:41:36 5:16:16,25048495349484952495650573 22:32:34 5:12:16,,25048495349484952575165503 23:21:4 5:12:16,,,25048495349484952495550543 2:14:17 5:16:16,,,,,24848484848515049484950513 4:17:21 5:16:16
,25048495349484952485051513 1:6:52 5:17:16,25048495349484952485451553 0:23:1 5:16:16,25048495349484953484851483 9:33:3 5:14:16,,,25048495349484952565766563 0:6:43 5:14:16,,25048495349484952575265533 0:30:26 5:12:16,,25048495349484952495350523 21:5:10 5:16:16,24848484848515048545752653 4:50:35 5:17:16,New Recording Session,25048495349484953514948493 8:56:54 5:17:16,25048495349484952495650573 22:32:34 5:12:16,,25048495349484952575165503 23:23:8 5:12:16,,,25048495349484952495550543 2:14:18 5:16:16,,,,,24848484848515049484950513 4:17:23 5:16:16
,25048495349484952485051513 1:7:12 5:17:16,25048495349484952485451553 0:23:2 5:16:16,New Recording Session,,,25048495349484952565766563 0:6:53 5:14:16,,25048495349484952575265533 0:30:26 5:12:16,,25048495349484952495350523 21:5:20 5:16:16,24848484848515048545752653 4:50:35 5:17:16,New Recording Session,25048495349484953514948493 8:56:54 5:17:16,25048495349484952495650573 22:32:55 5:12:16,,25048495349484952575165503 23:26:21 5:12:16,,,25048495349484952495550543 2:14:18 5:16:16,,,,,24848484848515049484950513 4:17:52 5:16:16
,25048495349484952495150503 3:51:53 5:17:16,25048495349484952485451553 0:23:2 5:16:16,25048495349484953484851483 18:31:58 5:14:16,,,25048495349484952565766563 0:6:54 5:14:16,,25048495349484952575265533 0:30:27 5:12:16,,25048495349484952495350523 21:5:20 5:16:16,24848484848515048545752653 4:50:38 5:17:16,24848484848515069526554553 17:9:54 5:13:16,New Recording Session,25048495349484952495650573 22:32:55 5:12:16,,25048495349484952575165503 23:26:21 5:12:16,,,25048495349484952495550543 2:14:24 5:16:16,,,,,24848484848515049484950513 4:17:52 5:16:16
,24848484848515069526554553 9:1:7 5:17:16,25048495349484952485451553 0:23:3 5:16:16,25048495349484953484851483 18:31:58 5:14:16,,,25048495349484952565766563 0:6:56 5:14:16,,25048495349484952575265533 0:30:28 5:12:16,,25048495349484952495350523 1:24:33 5:17:16,24848484848515048545752653 4:50:39 5:17:16,24848484848515069526554553 17:9:54 5:13:16,New Recording Session,25048495349484952485651573 23:2:36 5:12:16,,25048495349484952575165503 23:26:44 5:12:16,,,25048495349484952495250533 2:17:53 5:16:16,,,,,24848484848515049484950513 4:19:12 5:16:16
,24848484848515069526554553 9:1:8 5:17:16,25048495349484952485451553 0:23:3 5:16:16,25048495349484953484851483 18:31:59 5:14:16,,,25048495349484952565766563 0:7:9 5:14:16,,25048495349484952575265533 0:30:28 5:12:16,,25048495349484952575465553 4:8:11 5:17:16,24848484848515048545752653 4:50:39 5:17:16,25048495349484953515748573 20:36:28 5:13:16,25048495349484953514948493 16:46:43 5:17:16,25048495349484952485651573 23:2:36 5:12:16,,25048495349484952575165503 23:26:59 5:12:16,,,25048495349484952495250533 2:17:54 5:16:16,,,,,24848484848515049484950513 4:19:12 5:16:16
,24848484848515069526554553 9:1:9 5:17:16,25048495349484952485451553 0:23:3 5:16:16,25048495349484952575065513 20:11:57 5:14:16,,,25048495349484952565766563 0:7:49 5:14:16,,25048495349484952575265533 0:48:4 5:12:16,,25048495349484952575465553 4:8:11 5:17:16,24848484848515048545752653 4:50:40 5:17:16,25048495349484953515748573 20:36:29 5:13:16,25048495349484953514948493 16:46:44 5:17:16,25048495349484952485651573 23:2:56 5:12:16,,25048495349484952575165503 23:27:7 5:12:16,,,25048495349484952495550543 2:17:58 5:16:16,,,,,24848484848515049484950513 4:20:1 5:16:16
,New Recording Session,25048495349484952485451553 0:23:11 5:16:16,25048495349484953515348533 20:46:24 5:14:16,,,25048495349484952565766563 0:8:12 5:14:16,,25048495349484952575265533 0:48:4 5:12:16,,25048495349484952575465553 4:9:35 5:17:16,24848484848515048545752653 4:50:41 5:17:16,25048495349484953515748573 20:36:29 5:13:16,New Recording Session,24848484848515157676670493 23:40:39 5:12:16,,25048495349484952575165503 23:27:49 5:12:16,,,25048495349484952495550543 2:17:59 5:16:16,,,,,25048495349484952565166503 5:0:52 5:16:16
,New Recording Session,25048495349484952485451553 0:23:11 5:16:16,25048495349484953515348533 20:46:24 5:14:16,,,25048495349484952565766563 0:8:20 5:14:16,,25048495349484953484851483 10:19:53 5:12:16,,25048495349484952575465553 4:9:35 5:17:16,24848484848515048545752653 4:50:41 5:17:16,25048495349484953515748573 20:36:29 5:13:16,25048495349484952565066513 4:19:6 5:18:16,25048495349484952495650573 1:45:24 5:13:16,,25048495349484952575165503 23:27:55 5:12:16,,,25048495349484952495250533 2:55:24 5:16:16,,,,,25048495349484952565166503 5:0:54 5:16:16
,24848484848515069526554553 16:55:28 5:17:16,25048495349484952485451553 0:23:23 5:16:16,25048495349484953515348533 20:47:20 5:14:16,,,25048495349484952565766563 0:8:36 5:14:16,,25048495349484953484851483 10:19:53 5:12:16,,25048495349484952575465553 4:10:42 5:17:16,24848484848515048545752653 4:50:42 5:17:16,25048495349484953515748573 20:36:30 5:13:16,25048495349484952575565543 4:44:6 5:18:16,25048495349484952495650573 1:45:24 5:13:16,,25048495349484952565766563 23:28:5 5:12:16,,,25048495349484952495250533 2:55:24 5:16:16,,,,,25048495349484952565166503 5:0:54 5:16:16
,24848484848515069526554553 16:55:29 5:17:16,25048495349484952485451553 0:23:24 5:16:16,25048495349484953515348533 2:36:31 5:15:16,,,25048495349484952565766563 0:8:46 5:14:16,,25048495349484953484851483 10:19:53 5:12:16,,25048495349484952575465553 4:10:42 5:17:16,24848484848515048545752653 4:50:43 5:17:16,25048495349484953515748573 20:36:30 5:13:16,New Recording Session,25048495349484952495650573 1:45:24 5:13:16,,25048495349484952575165503 23:28:21 5:12:16,,,25048495349484952495550543 2:57:51 5:16:16,,,,,25048495349484952565166503 5:0:57 5:16:16
,25048495349484952495150503 0:8:57 5:18:16,25048495349484952485451553 0:23:24 5:16:16,25048495349484953515348533 2:36:31 5:15:16,,,25048495349484952565766563 0:9:43 5:14:16,,25048495349484953484851483 10:19:54 5:12:16,,25048495349484952575465553 4:10:42 5:17:16,24848484848515048545752653 4:51:53 5:17:16,25048495349484953515748573 20:36:34 5:13:16,25048495349484953514948493 7:45:56 5:18:16,25048495349484952495650573 1:45:25 5:13:16,,25048495349484952565766563 23:28:42 5:12:16,,,25048495349484953515348533 3:54:44 5:16:16,,,,,25048495349484952565166503 5:1:55 5:16:16
,25048495349484952495150503 0:10:38 5:18:16,25048495349484952485451553 0:23:25 5:16:16,25048495349484953515348533 2:36:32 5:15:16,,,25048495349484952565766563 0:9:43 5:14:16,,New Recording Session,,25048495349484952575465553 4:10:43 5:17:16,24848484848515048545752653 4:52:12 5:17:16,25048495349484953515748573 20:36:34 5:13:16,25048495349484953514948493 7:45:56 5:18:16,25048495349484952495650573 1:45:27 5:13:16,,25048495349484952565766563 23:28:43 5:12:16,,,25048495349484953515348533 3:54:44 5:16:16,,,,,25048495349484952565166503 5:2:4 5:16:16
,25048495349484952495150503 0:11:35 5:18:16,25048495349484952485451553 0:23:32 5:16:16,25048495349484953515348533 2:36:32 5:15:16,,,25048495349484952565766563 0:10:9 5:14:16,,25048495349484953484851483 18:36:43 5:12:16,,25048495349484952575465553 4:11:20 5:17:16,24848484848515048545752653 4:52:13 5:17:16,25048495349484953515748573 20:36:35 5:13:16,New Recording Session,25048495349484952574965483 1:57:57 5:13:16,,25048495349484952565766563 23:28:43 5:12:16,,,25048495349484953515348533 4:7:10 5:16:16,,,,,25048495349484952565166503 5:2:6 5:16:16
,25048495349484952495150503 1:56:58 5:18:16,25048495349484952485451553 0:23:35 5:16:16,25048495349484953515348533 2:36:33 5:15:16,,,25048495349484952565766563 0:10:17 5:14:16,,25048495349484953484851483 18:36:43 5:12:16,,25048495349484952575465553 4:11:20 5:17:16,24848484848515048545752653 4:52:13 5:17:16,25048495349484953515748573 20:36:35 5:13:16,,25048495349484952574965483 1:57:58 5:13:16,,25048495349484952575165503 23:29:15 5:12:16,,,25048495349484952575065513 4:50:49 5:16:16,,,,,25048495349484952565166503 5:2:10 5:16:16
,24848484848515069526554553 7:28:45 5:18:16,25048495349484952485451553 0:29:43 5:16:16,25048495349484953515348533 2:36:33 5:15:16,,,25048495349484952565766563 0:10:17 5:14:16,,25048495349484953484851483 18:36:44 5:12:16,,25048495349484952575465553 4:11:21 5:17:16,24848484848515048545752653 4:52:16 5:17:16,25048495349484953515748573 20:36:42 5:13:16,,25048495349484952574965483 4:23:37 5:13:16,,25048495349484952565766563 23:29:23 5:12:16,,,25048495349484952575065513 4:50:54 5:16:16,,,,,25048495349484952565166503 5:2:10 5:16:16
,24848484848515069526554553 7:28:45 5:18:16,25048495349484952485451553 0:29:47 5:16:16,25048495349484953515348533 2:36:33 5:15:16,,,25048495349484952575165503 0:10:27 5:14:16,,25048495349484952575265533 20:19:2 5:12:16,,25048495349484952575465553 4:12:20 5:17:16,24848484848515048545752653 4:52:51 5:17:16,25048495349484953515748573 20:36:44 5:13:16,,25048495349484952574965483 4:23:38 5:13:16,,25048495349484952575165503 23:32:5 5:12:16,,,25048495349484952575065513 4:50:55 5:16:16,,,,,25048495349484952565166503 5:2:11 5:16:16
,24848484848515069526554553 7:28:46 5:18:16,25048495349484952485451553 0:29:50 5:16:16,25048495349484953515348533 2:36:34 5:15:16,,,25048495349484952565766563 0:10:28 5:14:16,,25048495349484952575265533 20:19:2 5:12:16,,25048495349484952575465553 4:12:21 5:17:16,24848484848515048545752653 4:53:5 5:17:16,25048495349484953515748573 20:36:47 5:13:16,,25048495349484952574965483 4:23:38 5:13:16,,25048495349484952575165503 23:32:30 5:12:16,,,24848484848515069526554553 8:49:34 5:16:16,,,,,24848484848515069526554553 8:25:31 5:16:16
,,25048495349484952485451553 0:29:50 5:16:16,25048495349484953515348533 2:36:34 5:15:16,,,25048495349484952565766563 0:10:36 5:14:16,,25048495349484952575265533 20:19:2 5:12:16,,25048495349484952575465553 4:13:16 5:17:16,24848484848515048545752653 4:53:6 5:17:16,25048495349484953515748573 20:36:47 5:13:16,,25048495349484952574965483 4:23:39 5:13:16,,25048495349484952575165503 23:33:8 5:12:16,,,24848484848515069526554553 8:49:34 5:16:16,,,,,24848484848515069526554553 8:25:31 5:16:16
,,25048495349484952485451553 0:29:57 5:16:16,25048495349484953515348533 2:36:34 5:15:16,,,25048495349484952575165503 0:10:43 5:14:16,,25048495349484952575265533 20:19:3 5:12:16,,25048495349484952575465553 4:13:16 5:17:16,24848484848515048545752653 4:53:6 5:17:16,25048495349484952565666573 22:18:4 5:13:16,,25048495349484952574965483 4:23:39 5:13:16,,25048495349484952565766563 23:33:40 5:12:16,,,24848484848515069526554553 8:49:35 5:16:16,,,,,24848484848515069526554553 8:25:31 5:16:16
,,25048495349484952485451553 0:29:58 5:16:16,25048495349484953515348533 2:36:35 5:15:16,,,25048495349484952575165503 0:10:44 5:14:16,,25048495349484952575265533 20:19:3 5:12:16,,25048495349484952495350523 4:45:2 5:17:16,24848484848515048545752653 4:53:7 5:17:16,25048495349484952565666573 22:18:4 5:13:16,,25048495349484952574965483 4:23:39 5:13:16,,25048495349484952565766563 23:33:40 5:12:16,,,24848484848515069526554553 8:49:36 5:16:16,,,,,24848484848515069526554553 8:25:32 5:16:16
,,25048495349484952485451553 0:29:58 5:16:16,25048495349484953515348533 2:36:35 5:15:16,,,25048495349484952575165503 0:10:46 5:14:16,,25048495349484952575265533 20:19:3 5:12:16,,25048495349484952495350523 4:45:18 5:17:16,24848484848515048545752653 4:53:7 5:17:16,25048495349484952565666573 22:18:5 5:13:16,,25048495349484952574965483 4:23:40 5:13:16,,25048495349484952565766563 23:33:40 5:12:16,,,New Recording Session,,,,,New Recording Session
,,25048495349484952485451553 0:29:58 5:16:16,25048495349484953515348533 2:37:12 5:15:16,,,25048495349484952575165503 0:10:56 5:14:16,,25048495349484952575265533 20:19:6 5:12:16,,25048495349484953484851483 8:46:24 5:17:16,24848484848515048545752653 4:53:43 5:17:16,25048495349484953515748573 23:33:53 5:13:16,,25048495349484952574965483 4:23:40 5:13:16,,25048495349484952575165503 23:33:46 5:12:16,,,24848484848515069526554553 17:46:3 5:16:16,,,,,New Recording Session
,,25048495349484952485451553 0:29:59 5:16:16,25048495349484952495550543 4:24:15 5:15:16,,,25048495349484952565766563 0:11:0 5:14:16,,25048495349484952575265533 20:19:6 5:12:16,,25048495349484953484851483 8:46:25 5:17:16,24848484848515048545752653 4:53:43 5:17:16,25048495349484952485451553 0:6:26 5:14:16,,25048495349484952574965483 4:23:41 5:13:16,,25048495349484952565766563 23:33:59 5:12:16,,,24848484848515069526554553 17:46:3 5:16:16,,,,,New Recording Session
,,25048495349484952485451553 0:29:59 5:16:16,25048495349484952495550543 4:24:15 5:15:16,,,25048495349484952575165503 0:11:9 5:14:16,,25048495349484952575265533 20:46:31 5:12:16,,New Recording Session,24848484848515048545752653 4:53:58 5:17:16,25048495349484952485451553 0:6:26 5:14:16,,25048495349484952574965483 4:23:41 5:13:16,,25048495349484952565766563 23:33:59 5:12:16,,,25048495349484952495550543 21:15:38 5:16:16,,,,,New Recording Session
,,25048495349484952485451553 0:30:0 5:16:16,25048495349484952495550543 4:24:16 5:15:16,,,25048495349484952575165503 0:11:20 5:14:16,,25048495349484952575265533 20:46:32 5:12:16,,25048495349484953484851483 16:34:47 5:17:16,24848484848515048545752653 4:53:59 5:17:16,25048495349484952485451553 0:6:26 5:14:16,,25048495349484952574965483 4:23:41 5:13:16,,25048495349484952575165503 23:34:0 5:12:16,,,25048495349484952495550543 21:15:38 5:16:16,,,,,New Recording Session
,,25048495349484952485451553 0:30:0 5:16:16,25048495349484952495550543 4:24:19 5:15:16,,,25048495349484952575165503 0:11:32 5:14:16,,25048495349484952575265533 20:46:38 5:12:16,,25048495349484953484851483 16:34:47 5:17:16,24848484848515048545752653 4:53:59 5:17:16,25048495349484952485451553 0:6:37 5:14:16,,25048495349484952574965483 4:23:42 5:13:16,,25048495349484952575165503 23:34:10 5:12:16,,,25048495349484952495550543 21:15:38 5:16:16,,,,,24848484848515069526554553 17:24:4 5:16:16
,,25048495349484952485451553 0:30:1 5:16:16,25048495349484952575065513 5:0:47 5:15:16,,,25048495349484952575165503 0:11:41 5:14:16,,25048495349484952575265533 20:46:40 5:12:16,,25048495349484953484851483 16:34:48 5:17:16,24848484848515048545752653 4:54:34 5:17:16,25048495349484952565666573 0:23:21 5:14:16,,25048495349484952574965483 4:23:42 5:13:16,,25048495349484952565766563 23:34:41 5:12:16,,,25048495349484952495550543 23:29:58 5:16:16,,,,,24848484848515069526554553 17:24:4 5:16:16
,,25048495349484952485451553 0:30:1 5:16:16,25048495349484953484851483 9:25:28 5:15:16,,,25048495349484952575165503 0:11:46 5:14:16,,25048495349484952575265533 20:46:53 5:12:16,,25048495349484953484851483 16:34:48 5:17:16,24848484848515048545752653 4:54:34 5:17:16,25048495349484952565666573 0:23:39 5:14:16,,25048495349484952574965483 4:23:42 5:13:16,,25048495349484952565766563 23:34:41 5:12:16,,,25048495349484952495550543 23:29:58 5:16:16,,,,,25048495349484952565166503 20:36:33 5:16:16
,,25048495349484952485451553 0:30:2 5:16:16,25048495349484953484851483 9:25:28 5:15:16,,,25048495349484952575165503 0:11:46 5:14:16,,25048495349484952575265533 20:46:54 5:12:16,,25048495349484952495350523 3:17:49 5:18:16,24848484848515048545752653 4:54:54 5:17:16,25048495349484953515748573 0:42:14 5:14:16,,25048495349484952574965483 4:23:43 5:13:16,,25048495349484952565766563 23:35:26 5:12:16,,,25048495349484952495550543 23:29:59 5:16:16,,,,,25048495349484952565166503 20:36:33 5:16:16
,,25048495349484952485451553 0:30:2 5:16:16,25048495349484953484851483 9:25:29 5:15:16,,,25048495349484952575165503 0:11:47 5:14:16,,25048495349484952575265533 20:46:54 5:12:16,,25048495349484953484851483 8:18:54 5:18:16,24848484848515048545752653 4:54:55 5:17:16,25048495349484953515748573 0:42:14 5:14:16,,25048495349484952574965483 4:23:43 5:13:16,,25048495349484952575165503 23:35:51 5:12:16,,,25048495349484952495550543 23:29:59 5:16:16,,,,,25048495349484952565166503 21:23:30 5:16:16
,,25048495349484952485451553 0:30:3 5:16:16,25048495349484953484851483 9:25:29 5:15:16,,,25048495349484952575165503 0:11:54 5:14:16,,25048495349484952575265533 20:52:1 5:12:16,,25048495349484953484851483 8:18:55 5:18:16,24848484848515048545752653 4:55:29 5:17:16,25048495349484953515748573 0:42:15 5:14:16,,25048495349484952574965483 4:23:44 5:13:16,,25048495349484952565766563 23:35:55 5:12:16,,,25048495349484952495550543 23:29:59 5:16:16,,,,,24848484848515049484950513 22:57:20 5:16:16
,,25048495349484952485451553 0:30:3 5:16:16,New Recording Session,,,25048495349484952575165503 0:11:58 5:14:16,,25048495349484953484851483 8:35:57 5:13:16,,25048495349484953484851483 8:18:55 5:18:16,24848484848515048545752653 4:55:45 5:17:16,25048495349484953515748573 0:42:15 5:14:16,,25048495349484952574965483 4:23:44 5:13:16,,25048495349484952565766563 23:35:55 5:12:16,,,25048495349484952495550543 23:30:0 5:16:16,,,,,25048495349484952565166503 23:15:44 5:16:16
